date,description,amount,type,confidence,raw
2026-01-22,PAYMENT - THANK YOU CR,-2854.31,credit,ok,"22 JAN 22 JAN PAYMENT - THANK YOU 2,854.31 CR"
2026-01-04,GP SUBWAY KL GATEWAY KUALA LUMPUR,-13.9,debit,ok,04 JAN 02 JAN GP SUBWAY KL GATEWAY KUALA LUMPUR 13.90
2026-01-05,THE NATURE AQUASTORE KUALA LUMPUR MY,-68.4,debit,ok,05 JAN 04 JAN THE NATURE AQUASTORE KUALA LUMPUR MY 68.40
2026-01-06,X| NOODLES KUALA LUMPUR MY,-17.0,debit,ok,06 JAN 05 JAN X| NOODLES KUALA LUMPUR MY 17.00
2026-01-07,GP KEDAI KOPI MALAYA@KL G KUALA LUMPUR,-6.8,debit,ok,07 JAN 06 JAN GP KEDAI KOPI MALAYA@KL G KUALA LUMPUR 6.80
2026-01-07,TCRS-KLGATEWAY KUALA LUMPUR MY,-54.7,debit,ok,07 JAN 06 JAN TCRS-KLGATEWAY KUALA LUMPUR MY 54.70
2026-01-09,SUSYI BABY CAMI-MYTOWN KUALA LUMPUR MY,-91.5,debit,ok,09 JAN 08 JAN SUSYI BABY CAMI-MYTOWN KUALA LUMPUR MY 91.50
2026-01-09,PETRON ML3 JLN KLG LAM KUALA LUMPUR MY,-62.76,debit,ok,09 JAN 08 JAN PETRON ML3 JLN KLG LAM KUALA LUMPUR MY 62.76
2026-01-11,GP GKS*STUFFD W.P. KUALA L,-25.5,debit,ok,11 JAN 09 JAN GP GKS*STUFFD W.P. KUALA L 25.50
2026-01-11,SUGAR BY FROZEN KUALA LUMPUR MY,-41.9,debit,ok,11 JAN 09 JAN SUGAR BY FROZEN KUALA LUMPUR MY 41.90
2026-01-11,GP 99 SPEEDMART-1121 KUALA LUMPUR,-11.15,debit,ok,11 JAN 10 JAN GP 99 SPEEDMART-1121 KUALA LUMPUR 11.15
2026-01-12,GP MR DIY SB-FAB KUALA LUMPUR,-73.6,debit,ok,12 JAN 11 JAN GP MR DIY SB-FAB KUALA LUMPUR 73.60
2026-01-13,CBTL-BLOOMSVALE OLD KL KUALA LUMPUR MY,-48.6,debit,ok,13 JAN 12 JAN CBTL-BLOOMSVALE OLD KL KUALA LUMPUR MY 48.60
2026-01-16,PETRON ML3 JLN KLG LAM KUALA LUMPUR MY,-63.61,debit,ok,16 JAN 15 JAN PETRON ML3 JLN KLG LAM KUALA LUMPUR MY 63.61
2026-01-18,ATO PETALING JAYA MY,-130.0,debit,ok,18 JAN 17 JAN ATO PETALING JAYA MY 130.00
2026-01-18,CIMB - GHOSTBIRD COFFE 58000 KUALA L MY,-32.0,debit,ok,18 JAN 17 JAN CIMB - GHOSTBIRD COFFE 58000 KUALA L MY 32.00
2026-01-19,GP REST SAN CHING SAN-OUG KUALA LUMPUR,-30.8,debit,ok,19 JAN 17 JAN GP REST SAN CHING SAN-OUG KUALA LUMPUR 30.80
2026-01-25,PETRON SG BESI WEST KUALA LUMPUR MY,-62.68,debit,ok,25 JAN 23 JAN PETRON SG BESI WEST KUALA LUMPUR MY 62.68
2026-01-25,GP YELLOW JOURNAL SDN BHD KUALA LUMPUR,-115.5,debit,ok,25 JAN 23 JAN GP YELLOW JOURNAL SDN BHD KUALA LUMPUR 115.50
2026-01-25,GP MR DIY (KUCHAI)-PPS KUALA LUMPUR,-47.6,debit,ok,25 JAN 24 JAN GP MR DIY (KUCHAI)-PPS KUALA LUMPUR 47.60
2026-01-26,SPOTIFY STOCKHOLM — SE,-30.9,debit,ok,26 JAN 25 JAN SPOTIFY STOCKHOLM — SE 30.90
2026-01-30,*AIRASIA-AK-INFLIGHT KUALALUMPUR MY 3 43667590165b6353 0000137991 OOOOO3Z0bY4L Visa Signature cara number 4386 7590 1856 6353 005830-032623-032083/03-06,-7.5,debit,ok,30 JAN 28 JAN *AIRASIA-AK-INFLIGHT KUALALUMPUR MY 7.50 3 43667590165b6353 0000137991 OOOOO3Z0bY4L Visa Signature cara number 4386 7590 1856 6353 005830-032623-032083/03-06
2026-02-02,GP PB0O12-MID VALLEY KUALA LUMPUR,-48.7,debit,ok,02 FEB 01 FEB GP PB0O12-MID VALLEY KUALA LUMPUR 48.70
2026-02-02,GP AEON CO-MID VALLEY KUALA LUMPUR,-44.9,debit,ok,02 FEB 01 FEB GP AEON CO-MID VALLEY KUALA LUMPUR 44.90
2026-02-03,"LOVE AND CO- MV GEN - 3/12 INSTALMENT ",-249.91,debit,ok,"03 FEB 03 FEB LOVE AND CO- MV GEN - 3/12 INSTALMENT 249.91 Your charge(s) for this month RM1,130.00 ***Please forward your payment by 23 FEB 2026. Thank You. Summary of Instalment Plan instalment Plan"
