date,description,amount,type,confidence,raw
2025-11-23,PAYMENT - THANK YOU CR,-2534.8,credit,ok,"23 NOV 23 NOV PAYMENT - THANK YOU 2,534.80 CR"
2025-11-05,ROBERTO'S 1020-OSTERIA KUALA LUMPUR MY,-127.6,debit,ok,05 NOV 03 NOV ROBERTO'S 1020-OSTERIA KUALA LUMPUR MY 127.60
2025-11-05,SHISHIDO EXPRESS W.P.KL MY,-61.6,debit,ok,05 NOV 04 NOV SHISHIDO EXPRESS W.P.KL MY 61.60
2025-11-09,IPY*BLACKBIXON CAFE - SELANGOR MY,-96.3,debit,ok,09 NOV 07 NOV IPY*BLACKBIXON CAFE - SELANGOR MY 96.30
2025-11-10,PETRON ML3 JLN KLG LAM KUALA LUMPUR MY,-65.07,debit,ok,10 NOV 09 NOV PETRON ML3 JLN KLG LAM KUALA LUMPUR MY 65.07
2025-11-12,GT-KL GATEWAY KUALA LUMPUR MY,-39.8,debit,ok,12 NOV 11 NOV GT-KL GATEWAY KUALA LUMPUR MY 39.80
2025-11-13,MR DIY (M)-SCG KUALA LUMPUR MY,-33.2,debit,ok,13 NOV 12 NOV MR DIY (M)-SCG KUALA LUMPUR MY 33.20
2025-11-13,SUSYI BABY CAMI-FMYTOWN KUALA LUMPUR MY,-89.6,debit,ok,13 NOV 12 NOV SUSYI BABY CAMI-FMYTOWN KUALA LUMPUR MY 89.60
2025-11-14,MICROSOFT*14 DAY TRIAL MSBILL.INFO SG,-25.0,debit,ok,14 NOV 13 NOV MICROSOFT*14 DAY TRIAL MSBILL.INFO SG 25.00
2025-11-14,GP PAPASAN - KL GATEWAY KUALA LUMPUR,-66.0,debit,ok,14 NOV 13 NOV GP PAPASAN - KL GATEWAY KUALA LUMPUR 66.00
2025-11-16,MURNI DISCOVERY-PJ SS2 PAYA MY,-127.0,debit,ok,16 NOV 13 NOV MURNI DISCOVERY-PJ SS2 PAYA MY 127.00
2025-11-16,GIGI COFFEE-KL GATEWAY KUALA LUMPUR MY,-13.1,debit,ok,16 NOV 14 NOV GIGI COFFEE-KL GATEWAY KUALA LUMPUR MY 13.10
2025-11-16,GKS*STUFFD W.P. KUALA L MY,-19.6,debit,ok,16 NOV 14 NOV GKS*STUFFD W.P. KUALA L MY 19.60
2025-11-16,PETRON ML3 JLN KLG LAM KUALA LUMPUR MY,-53.17,debit,ok,16 NOV 14 NOV PETRON ML3 JLN KLG LAM KUALA LUMPUR MY 53.17
2025-11-16,SHINSUNMI - SUNWAY GEO SUBANG JAYA MY,-28.0,debit,ok,16 NOV 15 NOV SHINSUNMI - SUNWAY GEO SUBANG JAYA MY 28.00
2025-11-16,ATO PETALING JAYA MY,-60.0,debit,ok,16 NOV 15 NOV ATO PETALING JAYA MY 60.00
2025-11-17,GP FAMOUS AMOS-PMPJ PETALING JAYA,-7.9,debit,ok,17 NOV 16 NOV GP FAMOUS AMOS-PMPJ PETALING JAYA 7.90
2025-11-19,AYAM PENYET KL GATEWAY KUALA LUMPUR MY,-39.2,debit,ok,19 NOV 18 NOV AYAM PENYET KL GATEWAY KUALA LUMPUR MY 39.20
2025-11-21,PETRONAS DAMAI PERDANA CHERAS MY,-70.81,debit,ok,21 NOV 19 NOV PETRONAS DAMAI PERDANA CHERAS MY 70.81
2025-11-23,GP GT-KL GATEWAY KUALA LUMPUR,-49.8,debit,ok,23 NOV 21 NOV GP GT-KL GATEWAY KUALA LUMPUR 49.80
2025-11-26,SPOTIFY STOCKHOLM ~ SE,-30.9,debit,ok,26 NOV 25 NOV SPOTIFY STOCKHOLM ~ SE 30.90
2025-11-30,PETRON ML3 JLN KLG LAM KUALA LUMPUR MY,-61.44,debit,ok,30 NOV 28 NOV PETRON ML3 JLN KLG LAM KUALA LUMPUR MY 61.44
2025-12-03,"LOVE AND CO- MV GEN - 1/12 INSTALMENT ",-249.91,debit,ok,"03 DEC 03 DEC LOVE AND CO- MV GEN - 1/12 INSTALMENT 249.91 Your charge(s) for this month RM1,165.09 ***Please forward your payment by 23 DEC 2025. Thank You. 3 43667590165bb6353 DOO00L41L500 OOOO03Z08"
