date,description,amount,type,confidence,raw
2025-09-24,PAYMENT - THANK YOU,-100.0,credit,ok,24 SEP 24 SEP PAYMENT - THANK YOU 100.00CR
2025-09-04,DE MARKET KUALA LUMPUR MY,-25.85,debit,ok,04 SEP 03 SEP DE MARKET KUALA LUMPUR MY 25.85
2025-09-04,GUARDIAN FABER TOWER KUALA LUMPUR MY,-16.65,debit,ok,04 SEP 03 SEP GUARDIAN FABER TOWER KUALA LUMPUR MY 16.65
2025-09-07,TK BAKERY-BUKIT JALIL KUALA LUMPUR MY,-8.5,debit,ok,07 SEP 05 SEP TK BAKERY-BUKIT JALIL KUALA LUMPUR MY 8.50
2025-09-07,PETRONAS DAMAI PERDANA CHERAS MY,-61.7,debit,ok,07 SEP 06 SEP PETRONAS DAMAI PERDANA CHERAS MY 61.70
2025-09-10,GT-KL GATEWAY KUALA LUMPUR MY,-14.95,debit,ok,10 SEP 09 SEP GT-KL GATEWAY KUALA LUMPUR MY 14.95
2025-09-10,STRICTLY GOURMET SDN B PETALING JAYA MY,-14.75,debit,ok,10 SEP 09 SEP STRICTLY GOURMET SDN B PETALING JAYA MY 14.75
2025-09-11,X| NOODLES KUALA LUMPUR MY,-22.5,debit,ok,11 SEP 10 SEP X| NOODLES KUALA LUMPUR MY 22.50
2025-09-14,PAPASAN - KL GATEWAY KUALA LUMPUR MY,-62.4,debit,ok,14 SEP 12 SEP PAPASAN - KL GATEWAY KUALA LUMPUR MY 62.40
2025-09-14,TSUYOI KUALA LUMPUR MY,-100.9,debit,ok,14 SEP 13 SEP TSUYOI KUALA LUMPUR MY 100.90
2025-09-14,CROISSSE 35 1ST KUALA LUMPUR MY,-99.1,debit,ok,14 SEP 13 SEP CROISSSE 35 1ST KUALA LUMPUR MY 99.10
2025-09-14,CROISSSE 35 1ST KUALA LUMPUR MY,-10.6,debit,ok,14 SEP 13 SEP CROISSSE 35 1ST KUALA LUMPUR MY 10.60
2025-09-14,GP DE MARKET KUALA LUMPUR,-4.0,debit,ok,14 SEP 13 SEP GP DE MARKET KUALA LUMPUR 4.00
2025-09-14,GUARDIAN PAVILION DAMA KUALA LUMPUR MY,-11.9,debit,ok,14 SEP 13 SEP GUARDIAN PAVILION DAMA KUALA LUMPUR MY 11.90
2025-09-14,GUARDIAN PAVILION DAMA KUALA LUMPUR MY,-15.6,debit,ok,14 SEP 13 SEP GUARDIAN PAVILION DAMA KUALA LUMPUR MY 15.60
2025-09-17,ATO PETALING JAYA MY,-60.0,debit,ok,17 SEP 14 SEP ATO PETALING JAYA MY 60.00
2025-09-17,SB093-THE GARDENS MID KUALA LUMPUR MY,-22.85,debit,ok,17 SEP 14 SEP SB093-THE GARDENS MID KUALA LUMPUR MY 22.85
2025-09-17,OFFFFIVE COFFEE-SW GEO SUBANG JAYA MY,-16.8,debit,ok,17 SEP 14 SEP OFFFFIVE COFFEE-SW GEO SUBANG JAYA MY 16.80
2025-09-17,GP BIG BABA @ TAMAN DESA KUALA LUMPUR,-240.35,debit,ok,17 SEP 14 SEP GP BIG BABA @ TAMAN DESA KUALA LUMPUR 240.35
2025-09-17,PETRON SUBANG INDAH SUBANG INDAH MY,-65.56,debit,ok,17 SEP 14 SEP PETRON SUBANG INDAH SUBANG INDAH MY 65.56
2025-09-17,ROAST MEAT SHOP SUBANG JAYA MY,-45.6,debit,ok,17 SEP 14 SEP ROAST MEAT SHOP SUBANG JAYA MY 45.60
2025-09-17,GP HONG FU DIM SUM KUALA LUMPUR 3 43667590165b6353 00O001L70b93 OOOO008S535 Visa Signature cara number 4386 7590 1856 6353 010247-056647-055800/03-06,-78.65,debit,ok,17 SEP 15 SEP GP HONG FU DIM SUM KUALA LUMPUR 78.65 3 43667590165b6353 00O001L70b93 OOOO008S535 Visa Signature cara number 4386 7590 1856 6353 010247-056647-055800/03-06
2025-09-17,GP MR DIY (KUCHAI)-PPS KUALA LUMPUR,-18.8,debit,ok,17 SEP 16 SEP GP MR DIY (KUCHAI)-PPS KUALA LUMPUR 18.80
2025-09-17,GP MALA PARADISE KUALA LUMPUR,-62.6,debit,ok,17 SEP 16 SEP GP MALA PARADISE KUALA LUMPUR 62.60
