date,description,amount,type,confidence,raw
2025-10-22,PAYMENT - THANK YOU,-1706.93,credit,ok,"22 OCT 22 OCT PAYMENT - THANK YOU 1,706.93CR"
2025-10-05,GP PETRON ML3 JLN KLG LAM KUALA LUMPUR,-60.01,debit,ok,05 OCT 02 OCT GP PETRON ML3 JLN KLG LAM KUALA LUMPUR 60.01
2025-10-05,GP ZUS COFFEE-TANJUNG MAL TANJONG MALIM,-25.4,debit,ok,05 OCT 04 OCT GP ZUS COFFEE-TANJUNG MAL TANJONG MALIM 25.40
2025-10-06,GP PARKSON-PAVILION B JAL KUALA LUMPUR,-44.9,debit,ok,06 OCT 05 OCT GP PARKSON-PAVILION B JAL KUALA LUMPUR 44.90
2025-10-06,GP DAISO-PAVILION B.J. KUALA LUMPUR,-5.9,debit,ok,06 OCT 05 OCT GP DAISO-PAVILION B.J. KUALA LUMPUR 5.90
2025-10-07,GP PAPASAN - KL GATEWAY KUALA LUMPUR,-106.7,debit,ok,07 OCT 06 OCT GP PAPASAN - KL GATEWAY KUALA LUMPUR 106.70
2025-10-09,GP PAPASAN - KL GATEWAY KUALA LUMPUR,-59.4,debit,ok,09 OCT 08 OCT GP PAPASAN - KL GATEWAY KUALA LUMPUR 59.40
2025-10-10,SHELL 1012-JLN KLANG L KUALA LUMPUR MY,-63.58,debit,ok,10 OCT 08 OCT SHELL 1012-JLN KLANG L KUALA LUMPUR MY 63.58
2025-10-10,AYAM PENYET KL GATEWAY KUALA LUMPUR MY,-44.9,debit,ok,10 OCT 09 OCT AYAM PENYET KL GATEWAY KUALA LUMPUR MY 44.90
2025-10-10,GP SAN FRANCISCO-KL GATEW KUALA LUMPUR,-19.55,debit,ok,10 OCT 09 OCT GP SAN FRANCISCO-KL GATEW KUALA LUMPUR 19.55
2025-10-10,GP STRICTLY GOURMET SDN B PETALING JAYA,-24.15,debit,ok,10 OCT 09 OCT GP STRICTLY GOURMET SDN B PETALING JAYA 24.15
2025-10-12,GP GT-KL GATEWAY KUALA LUMPUR,-84.5,debit,ok,12 OCT 10 OCT GP GT-KL GATEWAY KUALA LUMPUR 84.50
2025-10-13,GP SB093-THE GARDENS MID KUALA LUMPUR,-13.25,debit,ok,13 OCT 12 OCT GP SB093-THE GARDENS MID KUALA LUMPUR 13.25
2025-10-13,GP BRANDS OUTLET-SWYP SM PETALING JAYA,-90.1,debit,ok,13 OCT 12 OCT GP BRANDS OUTLET-SWYP SM PETALING JAYA 90.10
2025-10-13,GP B PALATERIUM SDN BHD KUALA LUMPUR,-28.4,debit,ok,13 OCT 12 OCT GP B PALATERIUM SDN BHD KUALA LUMPUR 28.40
2025-10-14,MICROSOFT*14 DAY TRIAL MSBILL.INFO SG,-20.0,debit,ok,14 OCT 13 OCT MICROSOFT*14 DAY TRIAL MSBILL.INFO SG 20.00
2025-10-14,GP PAPASAN - KL GATEWAY KUALA LUMPUR,-196.9,debit,ok,14 OCT 13 OCT GP PAPASAN - KL GATEWAY KUALA LUMPUR 196.90
2025-10-14,GP DECATHLON-3389 KUALA LUMPUR,-28.0,debit,ok,14 OCT 13 OCT GP DECATHLON-3389 KUALA LUMPUR 28.00
2025-10-15,GP GT-KL GATEWAY KUALA LUMPUR,-95.4,debit,ok,15 OCT 14 OCT GP GT-KL GATEWAY KUALA LUMPUR 95.40
2025-10-16,GP BAAN THAI 2 SEAFOOD RE KUALA LUMPUR,-159.5,debit,ok,16 OCT 14 OCT GP BAAN THAI 2 SEAFOOD RE KUALA LUMPUR 159.50
2025-10-16,GP TCRS-KLGATEWAY KUALA LUMPUR,-47.65,debit,ok,16 OCT 15 OCT GP TCRS-KLGATEWAY KUALA LUMPUR 47.65
2025-10-16,GP ZUS COFFEE-KL GATEWAY KUALA LUMPUR 3 43667590165b6353 OO002534s0 DOOO0OLCHK7Y Visa Signature cara number 4386 7590 1856 6353 005926-032909-032352/03-06,-10.4,debit,ok,16 OCT 15 OCT GP ZUS COFFEE-KL GATEWAY KUALA LUMPUR 10.40 3 43667590165b6353 OO002534s0 DOOO0OLCHK7Y Visa Signature cara number 4386 7590 1856 6353 005926-032909-032352/03-06
2025-10-19,GP ZUS-FMKLO52 MYTOWN KUALA LUMPUR,-10.4,debit,ok,19 OCT 17 OCT GP ZUS-FMKLO52 MYTOWN KUALA LUMPUR 10.40
2025-10-19,GP DOME-GLENEAGLES HOSPIT KUALA LUMPUR,-32.5,debit,ok,19 OCT 18 OCT GP DOME-GLENEAGLES HOSPIT KUALA LUMPUR 32.50
2025-10-19,PETRON ML3 JLN KLG LAM KUALA LUMPUR MY,-64.83,debit,ok,19 OCT 18 OCT PETRON ML3 JLN KLG LAM KUALA LUMPUR MY 64.83
2025-10-21,GP MALA PARADISE KUALA LUMPUR,-62.8,debit,ok,21 OCT 20 OCT GP MALA PARADISE KUALA LUMPUR 62.80
2025-10-21,GP PAPASAN - KL GATEWAY KUALA LUMPUR,-90.9,debit,ok,21 OCT 20 OCT GP PAPASAN - KL GATEWAY KUALA LUMPUR 90.90
2025-10-22,GP GT-KL GATEWAY KUALA LUMPUR,-122.45,debit,ok,22 OCT 21 OCT GP GT-KL GATEWAY KUALA LUMPUR 122.45
2025-10-23,KILO CODE LLC KILOCODE.AI DE,-43.98,debit,ok,23 OCT 22 OCT KILO CODE LLC KILOCODE.AI DE 43.98
2025-10-26,SPOTIFY STOCKHOLM — SE,-30.9,debit,ok,26 OCT 25 OCT SPOTIFY STOCKHOLM — SE 30.90
2025-10-26,PETRON ML3 JLN KLG LAM KUALA LUMPUR MY,-66.37,debit,ok,26 OCT 24 OCT PETRON ML3 JLN KLG LAM KUALA LUMPUR MY 66.37
2025-10-28,CBTL-LINK BUKIT JALIL KUALA LUMPUR MY,-13.8,debit,ok,28 OCT 27 OCT CBTL-LINK BUKIT JALIL KUALA LUMPUR MY 13.80
2025-10-28,GP SAN FRANCISCO-KL GATEW KUALA LUMPUR,-13.05,debit,ok,28 OCT 27 OCT GP SAN FRANCISCO-KL GATEW KUALA LUMPUR 13.05
2025-10-28,GP GT-KL GATEWAY KUALA LUMPUR,-60.25,debit,ok,28 OCT 27 OCT GP GT-KL GATEWAY KUALA LUMPUR 60.25
2025-10-31,GP GT-KL GATEWAY KUALA LUMPUR,-117.1,debit,ok,31 OCT 30 OCT GP GT-KL GATEWAY KUALA LUMPUR 117.10
2025-10-31,GP SHISHIDO EXPRESS W.P.KL,-63.6,debit,ok,31 OCT 30 OCT GP SHISHIDO EXPRESS W.P.KL 63.60
2025-11-02,PAPASAN - KL GATEWAY KUALA LUMPUR MY,-72.1,debit,ok,02 NOV 31 OCT PAPASAN - KL GATEWAY KUALA LUMPUR MY 72.10
2025-11-03,PORTO FINO - BANGSAR S KUALA LUMPUR MY,-272.6,debit,ok,03 NOV 31 OCT PORTO FINO - BANGSAR S KUALA LUMPUR MY 272.60
2025-11-03,GP ZUS COFFEE-PAVILION BK KUALA LUMPUR,-22.1,debit,ok,03 NOV 01 NOV GP ZUS COFFEE-PAVILION BK KUALA LUMPUR 22.10
2025-11-03,PETRON KUCHAI LAMA KUALA LUMPUR MY,-61.58,debit,ok,03 NOV 01 NOV PETRON KUCHAI LAMA KUALA LUMPUR MY 61.58
