date,description,amount,type,confidence,raw
2025-12-22,PAYMENT - THANK YOU,-1415.0,credit,ok,"22 DEC 22 DEC PAYMENT - THANK YOU 1,415.00CR"
2025-12-05,GT-KL GATEWAY KUALA LUMPUR MY,-28.0,debit,ok,05 DEC 04 DEC GT-KL GATEWAY KUALA LUMPUR MY 28.00
2025-12-05,Dominos Malaysia Selangor MY,-103.7,debit,ok,05 DEC 05 DEC Dominos Malaysia Selangor MY 103.70
2025-12-07,KFCMY1 PETALING JAYA MY,-168.0,debit,ok,07 DEC 05 DEC KFCMY1 PETALING JAYA MY 168.00
2025-12-07,MARCO@THE GARDENS MALL KUALA LUMPUR MY,-191.4,debit,ok,07 DEC 06 DEC MARCO@THE GARDENS MALL KUALA LUMPUR MY 191.40
2025-12-07,L'OCCITANE THE GARDEN KUALA LUMPUR MY,-480.0,debit,ok,07 DEC 06 DEC L'OCCITANE THE GARDEN KUALA LUMPUR MY 480.00
2025-12-08,BHPETROL S.E.A PARK PETALING JAYA MY,-60.1,debit,ok,08 DEC 06 DEC BHPETROL S.E.A PARK PETALING JAYA MY 60.10
2025-12-14,Microsoft* 14 Day Trial Singapore SG,-25.0,debit,ok,14 DEC 13 DEC Microsoft* 14 Day Trial Singapore SG 25.00
2025-12-15,PETRON ML3 JLN KLG LAM KUALA LUMPUR MY,-65.6,debit,ok,15 DEC 14 DEC PETRON ML3 JLN KLG LAM KUALA LUMPUR MY 65.60
2025-12-16,BANANA BISTRO SIGN KUALALUMPUR MY,-86.0,debit,ok,16 DEC 15 DEC BANANA BISTRO SIGN KUALALUMPUR MY 86.00
2025-12-16,PYX*Aloe Mind SELANGOR MY,-250.0,debit,ok,16 DEC 15 DEC PYX*Aloe Mind SELANGOR MY 250.00
2025-12-19,GT-KL GATEWAY KUALA LUMPUR MY,-57.9,debit,ok,19 DEC 18 DEC GT-KL GATEWAY KUALA LUMPUR MY 57.90
2025-12-19,CBTL-LINK BUKIT JALIL KUALA LUMPUR MY,-14.8,debit,ok,19 DEC 18 DEC CBTL-LINK BUKIT JALIL KUALA LUMPUR MY 14.80
2025-12-19,NASI LEMAK SHOP - MV KUALA LUMPUR MY,-53.7,debit,ok,19 DEC 18 DEC NASI LEMAK SHOP - MV KUALA LUMPUR MY 53.70
2025-12-22,HOUSE OF WHEAT KUALA LUMPUR MY,-115.9,debit,ok,22 DEC 21 DEC HOUSE OF WHEAT KUALA LUMPUR MY 115.90
2025-12-24,PETRON ML3 JLN KLG LAM KUALA LUMPUR MY,-58.29,debit,ok,24 DEC 22 DEC PETRON ML3 JLN KLG LAM KUALA LUMPUR MY 58.29
2025-12-26,SPOTIFY STOCKHOLM — SE,-30.9,debit,ok,26 DEC 25 DEC SPOTIFY STOCKHOLM — SE 30.90
2025-12-26,OMEGA PORK NOODLE B MIDVALLEY MY,-35.25,debit,ok,26 DEC 25 DEC OMEGA PORK NOODLE B MIDVALLEY MY 35.25
2025-12-26,LO HONG KA KUALA LUMPUR MY,-136.0,debit,ok,26 DEC 25 DEC LO HONG KA KUALA LUMPUR MY 136.00
2025-12-28,GT-KL GATEWAY KUALA LUMPUR MY,-25.9,debit,ok,28 DEC 26 DEC GT-KL GATEWAY KUALA LUMPUR MY 25.90
2025-12-28,NERONERO-T2 KUALA LUMPUR MY,-380.5,debit,ok,28 DEC 27 DEC NERONERO-T2 KUALA LUMPUR MY 380.50
2025-12-29,KOPI WONG ZHI TMN DESA KUALA LUMPUR MY 3 43667590165b6353 0J0002865431 0000038013 Visa Signature cara number 4386 7590 1856 6353 010443-058425-057652/03-06,-13.35,debit,ok,29 DEC 28 DEC KOPI WONG ZHI TMN DESA KUALA LUMPUR MY 13.35 3 43667590165b6353 0J0002865431 0000038013 Visa Signature cara number 4386 7590 1856 6353 010443-058425-057652/03-06
2025-12-31,MASTER LEE HOTPOT KUC KUALA LUMPUR MY,-130.85,debit,ok,31 DEC 29 DEC MASTER LEE HOTPOT KUC KUALA LUMPUR MY 130.85
2025-12-31,GP KEDAI KOPI MALAYA@KL G KUALA LUMPUR,-18.9,debit,ok,31 DEC 30 DEC GP KEDAI KOPI MALAYA@KL G KUALA LUMPUR 18.90
2025-12-31,GP TOAST MAKER KUALA LUMPUR,-10.5,debit,ok,31 DEC 30 DEC GP TOAST MAKER KUALA LUMPUR 10.50
2026-01-01,PETRON KUCHAI LAMA KUALA LUMPUR MY,-63.86,debit,ok,01 JAN 30 DEC PETRON KUCHAI LAMA KUALA LUMPUR MY 63.86
2026-01-02,"LOVE AND CO- MV GEN - 2/12 INSTALMENT ",-249.91,debit,ok,"02 JAN 02 JAN LOVE AND CO- MV GEN - 2/12 INSTALMENT 249.91 Your charge(s) for this month RM2,604.40 ***Please forward your payment by 23 JAN 2026. Thank You. Summary of Instalment Plan instalment Plan"
